"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47352","Закрытие окна ингредиента с деталями по крестику","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","4613","Переход по клику на конструктор","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","14333","Счётчик 'Выполнено за всё время' увеличивается после нового заказа","tests","2025-12-27","passed","2025-12-27","TestOrderFeedPage","test_order_feed_page","",""
"","5221","Переход по клику на ленту заказов","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","6288","Открытие окна ингредиента с деталями","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","15970","Счётчик 'Выполнено за сегодня' увеличивается после нового заказа","tests","2025-12-27","passed","2025-12-27","TestOrderFeedPage","test_order_feed_page","",""
"","7083","Переход по клику на ленту заказов","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","15625","Открытие окна ингредиента с деталями","","2025-12-27","passed","2025-12-27","","","",""
"","14761","Счётчик 'Выполнено за всё время' увеличивается после нового заказа","tests","2025-12-27","passed","2025-12-27","TestOrderFeedPage","test_order_feed_page","",""
"","6507","Увеличение счетчика ингредиента при добавлении в конструктор","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","1808","После оформления заказа его номер появляется в разделе 'В работе'","tests","2025-12-27","failed","2025-12-27","TestOrderFeedPage","test_order_feed_page","",""
"","1715","После оформления заказа его номер появляется в разделе 'В работе'","tests","2025-12-27","passed","2025-12-27","TestOrderFeedPage","test_order_feed_page","",""
"","48036","Закрытие окна ингредиента с деталями по крестику","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","6674","Открытие окна ингредиента с деталями","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","7590","Переход по клику на конструктор","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","6820","Увеличение счетчика ингредиента при добавлении в конструктор","tests","2025-12-27","passed","2025-12-27","TestMainPage","test_main_page","",""
"","14055","Счётчик 'Выполнено за сегодня' увеличивается после нового заказа","tests","2025-12-27","passed","2025-12-27","TestOrderFeedPage","test_order_feed_page","",""
